scenario_id,target_count,stable_target_count,matched_baseline_count,baseline_target_recall,scenario_target_precision,label,factor,direction,status,period_metrics_reused,output_dir,candidate_cell_count,reason,equivalence,execution_mode
adjacency_loose,59.0,9.0,59.0,1.0,1.0,邻接容差放宽,edge_tolerance_m,high,equivalent_to_baseline,True,C:\Users\（-1，0）\Documents\Reproduction and Calibration Analysis of Contrastive Multimodal Sentiment Detection\integration\multi-stage-fault-fusion-prediction-main\artifacts\experiment\p2-p3-v1\p2\scenario_runs\adjacency_loose,696.0,,"{'海西期': {'equivalent': True, 'baseline_edges': 7078, 'scenario_edges': 7078}, '喜山期': {'equivalent': True, 'baseline_edges': 5480, 'scenario_edges': 5480}, '印支燕山期': {'equivalent': True, 'baseline_edges': 6842, 'scenario_edges': 6842}}",
adjacency_tight,59.0,9.0,59.0,1.0,1.0,邻接容差收紧,edge_tolerance_m,low,equivalent_to_baseline,True,C:\Users\（-1，0）\Documents\Reproduction and Calibration Analysis of Contrastive Multimodal Sentiment Detection\integration\multi-stage-fault-fusion-prediction-main\artifacts\experiment\p2-p3-v1\p2\scenario_runs\adjacency_tight,696.0,,"{'海西期': {'equivalent': True, 'baseline_edges': 7078, 'scenario_edges': 7078}, '喜山期': {'equivalent': True, 'baseline_edges': 5480, 'scenario_edges': 5480}, '印支燕山期': {'equivalent': True, 'baseline_edges': 6842, 'scenario_edges': 6842}}",
baseline,59.0,9.0,59.0,1.0,1.0,基准配置,baseline,baseline,completed,True,C:\Users\（-1，0）\Documents\Reproduction and Calibration Analysis of Contrastive Multimodal Sentiment Detection\integration\multi-stage-fault-fusion-prediction-main\artifacts\experiment\target-screening-mvp-v1\final,696.0,,,
cluster_eps_high,59.0,9.0,59.0,1.0,1.0,聚类半径 +1/6,cluster_eps_m,high,reused_existing_scenario_output,True,C:\Users\（-1，0）\Documents\Reproduction and Calibration Analysis of Contrastive Multimodal Sentiment Detection\integration\multi-stage-fault-fusion-prediction-main\artifacts\experiment\p2-p3-v1\p2\scenario_runs\cluster_eps_high,696.0,,,existing_exact_output
cluster_eps_low,59.0,9.0,59.0,1.0,1.0,聚类半径 -1/6,cluster_eps_m,low,reused_existing_scenario_output,True,C:\Users\（-1，0）\Documents\Reproduction and Calibration Analysis of Contrastive Multimodal Sentiment Detection\integration\multi-stage-fault-fusion-prediction-main\artifacts\experiment\p2-p3-v1\p2\scenario_runs\cluster_eps_low,696.0,,,existing_exact_output
diameter_high,51.0,8.0,51.0,0.864406779661017,1.0,最大直径 +1/6,max_diameter_m,high,reused_existing_scenario_output,True,C:\Users\（-1，0）\Documents\Reproduction and Calibration Analysis of Contrastive Multimodal Sentiment Detection\integration\multi-stage-fault-fusion-prediction-main\artifacts\experiment\p2-p3-v1\p2\scenario_runs\diameter_high,696.0,,,existing_exact_output
diameter_low,81.0,18.0,59.0,1.0,0.7283950617283951,最大直径 -1/6,max_diameter_m,low,reused_existing_scenario_output,True,C:\Users\（-1，0）\Documents\Reproduction and Calibration Analysis of Contrastive Multimodal Sentiment Detection\integration\multi-stage-fault-fusion-prediction-main\artifacts\experiment\p2-p3-v1\p2\scenario_runs\diameter_low,696.0,,,existing_exact_output
distance_inverse_sqrt,59.0,9.0,59.0,1.0,1.0,以 inverse_sqrt 为基准距离变换,distance_transform,inverse_sqrt,reused_existing_scenario_output,False,C:\Users\（-1，0）\Documents\Reproduction and Calibration Analysis of Contrastive Multimodal Sentiment Detection\integration\multi-stage-fault-fusion-prediction-main\artifacts\experiment\p2-p3-v1\p2\scenario_runs\distance_inverse_sqrt,696.0,,,existing_exact_output
distance_neglog,58.0,9.0,54.0,0.9152542372881356,0.9310344827586207,以 neglog 为基准距离变换,distance_transform,neglog,reused_existing_scenario_output,False,C:\Users\（-1，0）\Documents\Reproduction and Calibration Analysis of Contrastive Multimodal Sentiment Detection\integration\multi-stage-fault-fusion-prediction-main\artifacts\experiment\p2-p3-v1\p2\scenario_runs\distance_neglog,696.0,,,existing_exact_output
grid_step_high,,,,,,网格步长 +10%,grid_step_m,high,excluded_requires_raw_regridding,False,C:\Users\（-1，0）\Documents\Reproduction and Calibration Analysis of Contrastive Multimodal Sentiment Detection\integration\multi-stage-fault-fusion-prediction-main\artifacts\experiment\p2-p3-v1\p2\scenario_runs\grid_step_high,,现有输入是固定网格统计 CSV；仅修改 step_m 会破坏邻接几何。网格尺度敏感性必须从同坐标系原始断裂线重新网格化。,,
grid_step_low,,,,,,网格步长 -10%,grid_step_m,low,excluded_requires_raw_regridding,False,C:\Users\（-1，0）\Documents\Reproduction and Calibration Analysis of Contrastive Multimodal Sentiment Detection\integration\multi-stage-fault-fusion-prediction-main\artifacts\experiment\p2-p3-v1\p2\scenario_runs\grid_step_low,,现有输入是固定网格统计 CSV；仅修改 step_m 会破坏邻接几何。网格尺度敏感性必须从同坐标系原始断裂线重新网格化。,,
